plume_id,qc,comment,new_origin
ang20221011t151919-B,pass,,
ang20221011t154415-A,pass,ugly plume. convex hull would be too long,
ang20221011t154415-B,pass,,
ang20221011t163243-A,pass,,
ang20221011t163243-C,pass,,
ang20221011t163243-D,pass,,
ang20221011t164544-A,pass,assuming plume doesn't actually hit mask,
ang20221011t164544-B,pass,,
ang20221011t164544-C,hide,"faces opposite of plume above, **check that plume got labeled**. dupe.",
ang20221011t164544-D,pass,"origin dead wrong, artifacty","39.8436, -80.6497"
ang20221011t164544-E,pass,,
ang20221011t165806-A,pass,,
ang20221011t165806-B,pass,,
ang20221011t165806-D,pass,,
ang20221011t171034-A,pass,wdir wrong,
ang20221011t171034-B,pass,some background enhancement,
ang20221011t171034-C,pass,,
ang20221011t171034-D,pass,,
ang20221011t171034-E,pass,RGB offset from OpenStreetMap,
ang20221011t172300-A,pass,WDIR off 90 deg,
ang20221011t172300-B,pass,large artifact (pad is enhanced) but otherwise plume-shaped,
ang20221011t172300-C,pass,,
ang20221011t172300-D,pass,,
ang20221011t172300-E,pass,WDIR off 90 deg,
ang20221011t173435-A,pass,bottom part is this is probably 2 plumes. Combined into one. New vent built 130m from the old one,
ang20221011t173435-B,pass,enhanced over pad/brighter spots,
ang20221011t174609-A,pass,,
ang20221011t175725-A,pass,prime example of being only enhanced over pad,
ang20221011t175725-B,fail,"general enhancement, can't isolate one plum",
ang20221011t175725-C,fail,"It's possible there's a general enhancement here, but I think these are just bright parts of the infrastructure here",
ang20221011t175725-D,pass,,
ang20221011t175725-E,pass,,
ang20221011t180824-A,pass,,
ang20221011t180824-B,pass,,
ang20221011t180824-C,pass,dupe?,
ang20221011t180824-D,pass,wdir opposite,
ang20221011t181926-A,pass,potentially two plumes,
ang20221011t181926-C,pass,,
ang20221011t181926-D,pass,"blobby, mask misses tail of plume, but uncertainty suitably high.",
ang20221011t183044-A,pass,wdir off ~90deg,
ang20221011t184153-A,hide,Maybe even fail. Faint enhancement only over parking lot,
ang20221011t184153-B,pass,"origin wrong, on wrong end of plume","40.0055, -80.2848"
ang20221011t184153-C,pass,,
ang20221011t184153-D,hide,cut off,
ang20221011t184153-E,pass,,
ang20221014t165055-A,pass,,
ang20221014t182827-A,hide,WHAT? IDENTICAL TO PREVIOUS ONE (B),
ang20221014t182827-B,pass,,
ang20221014t183849-A,hide,cut off,
ang20221014t185154-A,fail,fail - we think this is an artifact,
ang20221014t185154-B,pass,,
ang20221016t161437-A,pass,origin wrong,"39.1980, -80.0508"
ang20221016t162548-A,pass,"origin off, pretty sure it's not a coal plume","39.2392, -80.4670"
GAO20221018t203814p0000-A,pass,,
GAO20221019t205436p0000-A,pass,,
GAO20221020t202758p0000-A,pass,,
ang20221020t150746-A,pass,,
ang20221020t170809-A,pass,origin off,"37.7755, -81.7676"
ang20221020t170809-B,pass,,
ang20221020t172348-A,pass,origin off,"37.7376, -81.7230"
ang20221024t173730-A,pass,only appears over bright surface..,
ang20221024t173730-B,pass,,
ang20221024t173730-C,pass,"could be mislabled, not obviously coal infra",
ang20221024t174902-A,pass,wdir ~90deg off,
ang20221024t174902-B,pass,blobby,
ang20221024t174902-C,pass,"could be mislabled, not obviously coal infra",
ang20221024t180037-A,pass,"doesn't go with wind, goes  with vent",
ang20221024t180037-B,pass,RGB offset,
ang20221024t180037-C,pass,origin off?,"39.6817, -80.2974"
ang20221024t181205-A,pass,,
ang20221024t181205-B,pass,rbg offset,
ang20221024t181205-C,pass,RGB offset,
ang20221024t181205-D,hide,hide. not plume shaped,
ang20221024t181205-E,pass,,
ang20221024t182326-A,pass,,
ang20221024t182326-B,pass,,
ang20221024t182326-C,hide,hide. not plume shaped,
ang20221024t182326-D,pass,,
ang20221024t183453-A,pass,origin on wrong end of plume,"39.9571, -80.2757"
ang20221024t183453-B,pass,RGB offset,
ang20221024t183453-C,hide,cut off,
ang20221024t183453-D,pass,,
ang20221024t183453-E,hide,"hits edge of mask, blobby",
ang20221103t153837-C,pass,,
ang20221103t153837-D,hide,hide. adds too much tail.,
ang20221103t153837-E,pass,good except for extra road in plume may add some extra methane (artifact-y),
ang20221103t153837-F,pass,,
ang20221103t153837-G,pass,,
ang20221103t153837-H,pass,,
ang20221103t153837-M,pass,,
ang20221103t153837-N,pass,,
ang20221103t153837-O,pass,origin wrong,"39.8517, -80.4088"
ang20221103t153837-P,pass,wdir wrong,
ang20221103t155207-A,pass,hits edge of mask,
ang20221103t155207-B,pass,,
ang20221103t155207-C,pass,,
ang20221103t155207-G,pass,,
ang20221103t155207-H,hide,"infrastructure unknown anyway, don't waste time",
ang20221103t155207-I,pass,,
ang20221103t155207-J,pass,,
ang20221103t155207-K,pass,,
ang20221103t161828-A,pass,,
ang20221103t161828-B,pass,some background enhancement,
ang20221103t161828-D,pass,,
ang20221103t161828-F,pass,potentially 2-3 plumes,
ang20221103t163129-A,pass,,
ang20221103t163129-B,pass,,
ang20221103t163129-D,pass,"blobby, in valley",
ang20221103t164406-A,hide,"runs into cloud, which cuts off the plume",
ang20221103t164406-B,pass,WDIR flipped 180deg,
ang20221103t165729-A,pass,,
ang20221103t165729-B,pass,,
ang20221103t171109-A,pass,severe enhancement over pad,
ang20221103t171109-B,hide,why is the pad totally blacked out here?,
ang20221103t175310-A,pass,blobby,
ang20221103t183217-A,pass,IDENTICAL TO C,
ang20221103t183217-C,pass,,
emi20230202t193758p13011-B,pass,trona mine,
emi20231027t153239p10003-A,pass,origin slightly off,"33.3781, -87.2329"
emi20240129t182622p12015-A,pass,,
emi20240129t182622p12015-B,hide,plume not even over enhancement,
emi20240202t165156p11010-E,hide,"removed emit anyway, don't waste time",
